2021-06-04T16:29:25.114Z [AUDIT] Token created by 'anonymous': tokenId='6d2011dd-438b-483f-ab53-faf1a961a898', issuer='jfrou@01f7bxpwt3bxgstp75wx9ybgem', subject='jfrou@01f7bxpwt3bxgstp75wx9ybgem', expiry=none, refreshable=false
2021-06-04T17:39:49.642Z [AUDIT] Token created by 'jffe@000': tokenId='265149cc-f541-449a-9fce-ccb83dfc6e6a', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830189639, refreshable=true
2021-06-04T17:39:49.750Z [AUDIT] Token created by 'jffe@000': tokenId='b60be174-693b-46cb-a912-8d3a943538f6', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622828989750, refreshable=false
2021-06-04T17:39:50.177Z [AUDIT] Token created by 'jffe@000': tokenId='538e45f2-f79e-4144-abcf-d9f66b4fe8af', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622828990177, refreshable=false
2021-06-04T17:39:50.544Z [AUDIT] Token created by 'jffe@000': tokenId='ee22aa58-0ada-4d55-9c42-ee1d77d4a658', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622828990544, refreshable=false
2021-06-04T17:40:12.006Z [AUDIT] Token revoked by 'jffe@000': tokenId='265149cc-f541-449a-9fce-ccb83dfc6e6a', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830189639, refreshable=true
2021-06-04T17:40:14.905Z [AUDIT] Token created by 'jffe@000': tokenId='11519c53-59e3-4ec3-af05-fe4fa1b5c6a4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830214902, refreshable=true
2021-06-04T17:40:15.060Z [AUDIT] Token created by 'jffe@000': tokenId='d20258ba-3216-4c49-a2ab-7d8b86368477', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829015059, refreshable=false
2021-06-04T17:40:15.060Z [AUDIT] Token created by 'jffe@000': tokenId='dbd21ad1-5c12-4502-a549-97642c90d88f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829015059, refreshable=false
2021-06-04T17:40:15.061Z [AUDIT] Token created by 'jffe@000': tokenId='980a0236-7ecf-412d-b47e-fdf23c2f6a81', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829015061, refreshable=false
2021-06-04T17:40:15.509Z [AUDIT] Token created by 'jffe@000': tokenId='bcd5737a-5ce9-447a-ad6d-c7eba3bbac27', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829015509, refreshable=false
2021-06-04T17:40:35.776Z [AUDIT] Token created by 'jffe@000': tokenId='a3f06fb5-0dfe-4360-9141-542c0d9c48c5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829035776, refreshable=false
2021-06-04T17:40:35.776Z [AUDIT] Token created by 'jffe@000': tokenId='87d3ac79-4853-4bd4-975f-a8790f244f4b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829035776, refreshable=false
2021-06-04T17:40:35.779Z [AUDIT] Token created by 'jffe@000': tokenId='4f9d4d0b-09f3-4900-9c9c-8ede83b57e8f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829035779, refreshable=false
2021-06-04T17:44:08.319Z [AUDIT] Token revoked by 'jffe@000': tokenId='11519c53-59e3-4ec3-af05-fe4fa1b5c6a4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830214902, refreshable=true
2021-06-04T17:44:08.548Z [AUDIT] Token created by 'jffe@000': tokenId='74cc8edb-a74e-452e-baa9-1232bb6d32cf', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829248548, refreshable=false
2021-06-04T17:44:08.549Z [AUDIT] Token created by 'jffe@000': tokenId='098346ba-af32-414c-b3de-cc32966aa331', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829248548, refreshable=false
2021-06-04T17:44:08.574Z [AUDIT] Token created by 'jffe@000': tokenId='650d3a0f-df00-41ac-8bdf-42891c7e4c67', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829248573, refreshable=false
2021-06-04T17:44:08.588Z [AUDIT] Token created by 'jffe@000': tokenId='8ae01255-cfca-45df-bec1-c29690530525', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829248588, refreshable=false
2021-06-04T17:44:13.443Z [AUDIT] Token created by 'jffe@000': tokenId='5248c648-e5fc-4a05-8cf2-dbdea20ea1ec', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830453435, refreshable=true
2021-06-04T17:44:13.601Z [AUDIT] Token created by 'jffe@000': tokenId='09ad66c0-df54-45f1-801d-da73023b26cd', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829253601, refreshable=false
2021-06-04T17:44:14.067Z [AUDIT] Token created by 'jffe@000': tokenId='96483e9d-625a-4f46-9b32-e1312adc89d8', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829254066, refreshable=false
2021-06-04T17:44:14.356Z [AUDIT] Token created by 'jffe@000': tokenId='67d7d167-fa35-4b1d-aae6-6c6178cf31b2', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622829254356, refreshable=false
2021-06-04T17:44:53.761Z [AUDIT] Token revoked by 'jffe@000': tokenId='5248c648-e5fc-4a05-8cf2-dbdea20ea1ec', issuer='jffe@000', subject='jffe@000/users/maven_user', expiry=1622830453435, refreshable=true
2021-06-04T17:44:56.697Z [AUDIT] Token created by 'jffe@000': tokenId='d3779e0f-3282-47a6-85e6-c0ea38d3701b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830496689, refreshable=true
2021-06-04T17:44:56.860Z [AUDIT] Token created by 'jffe@000': tokenId='e2fb7864-e7ca-451b-aea4-dadc4e255933', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829296860, refreshable=false
2021-06-04T17:44:56.860Z [AUDIT] Token created by 'jffe@000': tokenId='793f9f60-b9a0-4de4-ac37-783e9dcd25e8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829296860, refreshable=false
